epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.00666, 0.99870, 0.98233, 0.65414, 1,
  1, 0.12071, 0.96278, 0.21367, 0.14286, 0,
  2, 0.06240, 0.98046, 0.76300, 0.45865, 0,
  3, 0.04675, 0.98660, 0.97967, 0.62406, 0,
  4, 0.03843, 0.99051, 0.96967, 0.47368, 0,
  5, 0.03417, 0.98865, 0.98333, 0.53383, 1,
  6, 0.04207, 0.98883, 0.21967, 0.38346, 0,
  7, 0.02814, 0.99330, 0.97833, 0.45113, 0,
  8, 0.03428, 0.98958, 0.97733, 0.57895, 0,
  9, 0.02195, 0.99386, 0.27500, 0.49624, 0,
 10, 0.02720, 0.99274, 0.97233, 0.50376, 0,
 11, 0.01655, 0.99553, 0.96800, 0.57143, 0,
 12, 0.01876, 0.99516, 0.97367, 0.48120, 0,
 13, 0.01325, 0.99665, 0.96667, 0.48120, 0,
 14, 0.02039, 0.99330, 0.96733, 0.49624, 0,
 15, 0.00831, 0.99851, 0.97000, 0.51128, 0,
 16, 0.01241, 0.99609, 0.97233, 0.60150, 0,
 17, 0.01322, 0.99591, 0.98167, 0.53383, 0,
 18, 0.01130, 0.99721, 0.98500, 0.53383, 1,
 19, 0.00737, 0.99870, 0.20000, 0.00000, 0,
 20, 0.01296, 0.99684, 0.93900, 0.48872, 0,
 21, 0.00759, 0.99814, 0.97200, 0.51128, 0,
 22, 0.00782, 0.99832, 0.97767, 0.56391, 0,
 23, 0.00489, 0.99907, 0.97233, 0.51128, 0,
 24, 0.00566, 0.99832, 0.97967, 0.52632, 0,
 25, 0.00580, 0.99870, 0.98033, 0.54135, 0,
