epoch, training_loss, training_acc, test_acc, counterexample_acc, is_new_best,
  0, 0.02166, 0.99423, 0.97800, 0.48120, 1,
  1, 0.09992, 0.96966, 0.20000, 0.00000, 0,
  2, 0.06581, 0.97841, 0.21400, 0.00000, 0,
  3, 0.07166, 0.97971, 0.98100, 0.41353, 1,
  4, 0.04014, 0.98753, 0.31067, 0.52632, 0,
  5, 0.04318, 0.98585, 0.78167, 0.48120, 0,
  6, 0.04115, 0.98734, 0.28567, 0.49624, 0,
  7, 0.02653, 0.99088, 0.98000, 0.60902, 0,
  8, 0.03476, 0.98976, 0.97267, 0.48872, 0,
  9, 0.02588, 0.99404, 0.97533, 0.49624, 0,
 10, 0.02885, 0.99125, 0.96533, 0.47368, 0,
 11, 0.02118, 0.99386, 0.96633, 0.53383, 0,
 12, 0.02145, 0.99386, 0.97700, 0.54135, 0,
 13, 0.01610, 0.99516, 0.30633, 0.44361, 0,
 14, 0.01857, 0.99404, 0.71233, 0.48872, 0,
 15, 0.01615, 0.99572, 0.98267, 0.60150, 1,
 16, 0.01065, 0.99702, 0.97700, 0.51880, 0,
 17, 0.01662, 0.99590, 0.98167, 0.67669, 0,
 18, 0.00717, 0.99814, 0.97300, 0.59398, 0,
 19, 0.00867, 0.99777, 0.96967, 0.51880, 0,
 20, 0.00971, 0.99814, 0.97467, 0.53383, 0,
 21, 0.00995, 0.99795, 0.20000, 0.00000, 0,
 22, 0.00836, 0.99777, 0.97833, 0.64662, 0,
 23, 0.00609, 0.99814, 0.97500, 0.46617, 0,
 24, 0.00731, 0.99795, 0.97667, 0.55639, 0,
 25, 0.00876, 0.99777, 0.98100, 0.54135, 0,
 26, 0.00662, 0.99851, 0.20000, 0.00000, 0,
 27, 0.00665, 0.99814, 0.97733, 0.48872, 0,
 28, 0.00644, 0.99851, 0.97433, 0.52632, 0,
 29, 0.00633, 0.99832, 0.97900, 0.70677, 0,
 30, 0.00423, 0.99907, 0.20000, 0.00000, 0,
 31, 0.00528, 0.99832, 0.97500, 0.60150, 0,
 32, 0.00609, 0.99832, 0.97800, 0.57143, 0,
 33, 0.00430, 0.99870, 0.97933, 0.57143, 0,
 34, 0.00661, 0.99832, 0.98500, 0.60902, 1,
 35, 0.00367, 0.99907, 0.97800, 0.59398, 0,
 36, 0.00382, 0.99888, 0.98133, 0.54887, 0,
 37, 0.00351, 0.99907, 0.97967, 0.57143, 0,
 38, 0.00508, 0.99851, 0.98133, 0.57895, 0,
 39, 0.00354, 0.99888, 0.98400, 0.51880, 0,
 40, 0.00311, 0.99870, 0.97633, 0.54887, 0,
 41, 0.00396, 0.99888, 0.98133, 0.52632, 0,
 42, 0.00381, 0.99870, 0.97233, 0.51128, 0,
 43, 0.00278, 0.99888, 0.96733, 0.51128, 0,
 44, 0.00244, 0.99944, 0.97100, 0.51128, 0,
 45, 0.00265, 0.99944, 0.97133, 0.51128, 0,
 46, 0.00407, 0.99888, 0.97800, 0.51880, 0,
 47, 0.00483, 0.99851, 0.98167, 0.50376, 0,
 48, 0.00260, 0.99888, 0.97833, 0.53383, 0,
 49, 0.00224, 0.99926, 0.97733, 0.51128, 0,
